cod_orgao,nom_orgao,sgl_orgao,cod_upce,nom_upce
8601,17 SEC.DE EST.DO DES.REG.-ITAJAI                  ,17 SDR,86010001,SDR 17-ITAJAI                 
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040050,"50 ""PL"" -  2/3/1 BBM/ORLEANS  "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150108,BBM CAMPO ERE                 
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090003,"03 ""PA"" - 2 BPM\CHAPECO       "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090070,4º GRUP POL RODOVI�RIA - PA   
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150099,QG - GBM GUARACIABA           
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090018,"18 ""PA"" - 19 BPM/ARARANGUA    "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040002,"02 ""PL"" -  12º BPM/B.CAMBORIU "
4301,SECRETARIA DE EST.DO TUR. CULTURA E ESPORTE       ,SOL,43010001,ALMOX. GERAL - SOL            
5602,SJC - FUNDO PENITENCIARIO DO ESTADO DE SC.        ,FUPESC,56020003,FUPESC - PENIT. CURITIBANOS   
1501,SECRETARIA DE ESTADO DA EDUCACAO                  ,SED,15010002,ALMOX. S.E.D. MERENDA ESCOLAR 
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090125,"125  ""PA"" - DSPS-FLORIANOPOLIS"
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090081,15º GRUP POL RODOVI�RIA  - PA 
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150098,QG - PALMA SOLA               
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040013,"13 ""PL"" - 20 BPM/CURITIBANOS  "
7701,08 SEC.DE EST.DO DES.REG.-CAMPOS NOVOS            ,08 SDR,77010001,SDR 8-CAMPOS NOVOS            
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250022,ALMOXARIFADO 22 S.L.DO OESTE  
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150013,QG- CBM FNS TRINDADE          
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090107,24º GRUP POL RODOVIÁRIA - PA  
1684,FUNDO DE MELHORIA DA POLICIA CIVIL                ,FMPC/SC,16840005,ALMOX. GVE FUMPC              
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150005,QG- DITI CB FNS ESTREITO      
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250070,ALMOX/70 G.P.RV C. ALEGRE     
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040039,"39 ""PL"" -  1 RPM/FPOLIS       "
8901,20 SEC.DE EST.DO DES.REG.-TUBARAO                 ,20 SDR,89010001,SDR 20-TUBARAO                
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150087,QG- PBM ITAPEMA               
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250011,ALMOXARIFADO 11 SAO JOAQUIM   
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040094,"94 ""PL"" - 22 BPM/FPOLIS       "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090044,"44 ""PA"" -  2/2 BBM/CHAPECO    "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150036,QG- CBM BALEARIO CAMBORIU     
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250001,ALMOXARIFADO SEDE-DEINFRA     
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250075,ALMOX/75 G.P.RV B. JESUS      
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040001,ALMOXARIFADO GERAL - PL - PMSC
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150074,QG- GBM TIMBO                 
8101,12 SEC.DE EST.DO DES.REG.-RIO DO SUL              ,12 SDR,81010002,SDR 12 - ALMOX.GEREI          
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040051,"51 ""PL"" -  25 BPM/NAVEGANTES  "
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250010,ALMOXARIFADO 10 RIO DO SUL    
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090110,"110 - ""PA"" - 11A RPM -SAO JOSE"
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090026,"26 ""PA"" - PECAS/FPOLIS        "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090047,"47 ""PA"" -  5/2/3 BBM/SAO B.SUL"
1701,SEC.DE EST.DA ADMINISTRACAO                       ,SEA,17010001,ALMOXARIFADO GERAL - SEA      
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250023,ALMOXARIFADO 23 JOINVILLE     
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090099,"99 ""PA"" 5ª/2ºBPM-SÃO L. OESTE "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090016,"16 ""PA""-27 BPM/SÃO FCO DO SUL "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090057,"57 ""PA"" -  1 BBM/FPOLIS       "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040104,21º GRUP POL RODOVIÁRIA - PL  
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150021,QG- GBM CAPIVARI DE BAIXO     
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040062,"62 ""PL"" - 4/4/3 BBM/TIJUCAS   "
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250021,ALMOXARIFADO 21 CONCORDIA     
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150096,QG - GBM RIO DOS CEDROS       
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150095,QG - MONTE CARLO              
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150037,QG- GBM JOACABA               
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850052,LF- GBM ITAPIRANGA            
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090068,2º GRUP POL RODOV�RIA - PA    
2301,SECRETARIA DE ESTADO DA INFRAESTRUTURA            ,SIE,23010003,COORDENADORIA REGIONAL DO VALE
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150085,QG- GBM JOINVILLE - AEROPORTO 
1621,CIA DE HABITACAO DO ESTADO SC COHAB               ,COHAB,16210001,ALMOX. CENTRAL DA COHAB       
1401,SECRETARIA DE EST.DA AGRICULTURA E DA PESCA       ,SAR,14010001,ALMOXARIFADO GERAL - SAR      
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090089,"89 ""PA"" - 19º GP PRE - FPOLIS "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150009,QG- GBM BIGUACU               
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250084,ALMOX/84 G.P.RV JOINVILLE     
5602,SJC - FUNDO PENITENCIARIO DO ESTADO DE SC.        ,FUPESC,56020009,FUPESC-PRESIDIO IMBITUBA      
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250074,ALMOX/74 G.P.RV IBICARE       
9601,27 SEC.DE EST.DO DES.REG.-LAGES                   ,27 SDR,96010001,SDR 27-LAGES                  
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090119,"119 - ""PA"" - 6 RPM - CRICIUMA "
2301,SECRETARIA DE ESTADO DA INFRAESTRUTURA            ,SIE,23010007,COORDENADORIA R. DO LITORAL   
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090069,3º GRUP POL RODOVI�RIA - PA   
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040017,"17 ""PL"" -  9 BPM/CRICIUMA     "
2321,ADMIN.DO PORTO DE SAO FRANC.DO SUL                ,APSFS,23210001,ALMOXARIFADO GERAL - APSFS    
1501,SECRETARIA DE ESTADO DA EDUCACAO                  ,SED,15010001,ALMOXARIFADO GERAL - SED      
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150035,QG- PBM HERVAL D`OESTE        
301,CENTRO DE INFORMATICA E AUTOMACAO DO EST. SC      ,CIASC,3010001,ALMOXARIFADO GERAL - CIASC    
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040131,"131-""PL"" 12 RPM-JARAGUA DO SUL"
1523,FUNDACAO UNIVERSIDADE DO ESTADO DE SC             ,UDESC,15230011,IBIRAMA                       
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150077,QG- GBM ITUPORANGA            
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040057,"57 ""PL"" -  1 BBM/FPOLIS.      "
8893,SEC EXECUTIVA DE ARTIC. NACIONAL                  ,SAN,88930001,ALMOXARIFADO CENTRAL 01       
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040098,""" PL ""- 1ª/15º BPM - VIDEIRA  "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090117,"117- ""PA"" -3 RPM - B. CAMBORIU"
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250015,ALMOXARIFADO 15 BOM RETIRO    
7001,01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ,01 SDR,70010002,SDR 1 - GESAU                 
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090096,"96 ""PA"" - 17 BPM/JOINVILLE    "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150088,QG- GBM ITAPOA                
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850071,LF- PBM BLUMENAU - GARCIA     
1191,FUNDO ESP.EST JUR E DE REAPAR - FUNJURE           ,FUNJURE,11910001,ALMOX. GERAL - FUNJURE        
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040028,"28 ""PL"" -  3/2 BBM/LAGES      "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040054,"54 ""PL"" -  3/1 BBM/CRICIUMA   "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040046,"46 ""PL"" -  4/3/1 BBM/URUSSANGA"
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150046,QG- PBM URUSSANGA             
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040120,"120 - ""PL"" - 8 RPM - TUBARAO  "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040061,"61 ""PL"" - BPMA/FPOLIS         "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090132,132 PA - CASA MILITAR MPSC    
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150020,QG- PBM ICARA                 
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150119,OBM-4º/2ª/2ºBBM - CONCORDIA   
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090129,"129-""PA""-GEIN INDAIAL-INDAIAL "
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250007,ALMOXARIFADO 07 CURITIBANOS   
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250081,ALMOX/81 G.P.RV GUATA         
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090059,"59 ""PA"" -  1/2/3 BBM/RIO D.SUL"
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090118,"118 - ""PA"" - 4 RPM - CHAPECO  "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150008,QG- CBM SAO JOSE              
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150059,QG- CBM RIO DO SUL            
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150117,QG - OBM CACADOR              
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090036,"36 ""PA"" - 4/3BBM - B. CAMBORIU"
1684,FUNDO DE MELHORIA DA POLICIA CIVIL                ,FMPC/SC,16840001,ALMOX. FMPC/SSP               
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040084,18º GRUP POL RODOVI�RIA  - PL 
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150010,QG- GBM STO AMARO DA IMP      
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090120,"120 - ""PA"" - 8 RPM - TUBARAO  "
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250082,ALMOX/82 G.P.RV CANOINHAS     
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040023,"23 ""PL"" -  13 BPM/RIO DO SUL  "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150048,QG- PBM DIONISIO CERQ.        
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150019,QG- GBM FORQUILHINHA          
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090121,"121 - ""PA"" - 7 RPM - BLUMENAU "
7001,01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ,01 SDR,70010003,SDR 1 - GEECT                 
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250073,ALMOX/73 G.P.RV GRAVATAL      
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040097,""" PL "" - GU. ESP. IMBITUBA    "
1523,FUNDACAO UNIVERSIDADE DO ESTADO DE SC             ,UDESC,15230009,ALMOXARIFADO CEO/UDESC        
8401,15 SEC.DE EST.DO DES.REG.-BLUMENAU                ,15 SDR,84010002,ALMOXARIFADO GEREI - SDR15    
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090037,"37 ""PA"" - 1 BPM/ITAJAI        "
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250012,ALMOXARIFADO 12 CACADOR       
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090015,"15 ""PA"" - 14º BPM/JARAGUA SUL "
7301,04 SEC.DE EST.DO DES.REG.-CHAPECO                 ,04 SDR,73010002,GEREI-SDR 4-CHAPECO           
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040012,"12 ""PL"" -  6 BPM/LAGES        "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090025,"25 ""PA"" - 2 BBM/CURITIBANOS   "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040086,"86 ""PL"" - G. ESP. STO AMARO   "
8101,12 SEC.DE EST.DO DES.REG.-RIO DO SUL              ,12 SDR,81010001,SDR 12 - RIO DO SUL           
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040064,"64 ""PL"" - BAPM/FPOLIS         "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090058,"58 ""PA"" -  CCB/FPOLIS         "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090109,"109 -""PA""- CMDO ESPECIALIZADAS"
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150111,QG - CBM PIRATUBA             
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040010,"10 ""PL"" -  5 BPM/TUBARAO      "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090005,"05 ""PA"" - 20 BPM/CONCORDIA    "
5493,FUNDO ESPECIAL RECURSOS HIDRICOS - FEHIDRO        ,FEHIDRO,54930001,ALMOXARIFADO FEHIDRO          
2601,"SEC.DE EST.DA ASS.SOC,TRAB.E HABITACAO            ",SST,26010001,ALMOX. CENTRAL SDS            
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040009,"09 ""PL"" - 15 BPM/CACADOR      "
1523,FUNDACAO UNIVERSIDADE DO ESTADO DE SC             ,UDESC,15230007,ALMOXARIFADO DO CAV - LAGES   
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090077,11º GRUP POL RODOVI�RIA  - PA 
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150017,QG- GBM FNS BARRA DA LAGOA    
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090103,"103 - ""PA"" 7CIA/BPMA - PALHOCA"
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040124,"124 - ""PL"" 2A/19 BPM - SOMBRIO"
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850070,LF- GBM MATOS COSTA           
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040076,10º GRUP POL RODOVI�RIA  - PL 
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150067,QG- GBM OTACILIO COSTA        
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250018,ALMOXARIFADO 18 VIDEIRA       
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150069,QG- GBM TRES BARRAS           
1522,FUNDACAO CATARINENSE DE CULTURA                   ,FCC,15220001,ALMOXARIFADO GERAL - FCC      
1201,GABINETE DO VICE GOVERNADOR DO ESTADO             ,GVG,12010001,ALMOXARIFADO GERAL - GVG      
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090051,"51 ""PA"" -  25 BPM/NAVEGANTES  "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090022,"22 ""PA"" - 2/11BPM/D.CERQUEIRA "
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250004,ALMOXARIFADO 04 JOACABA       
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150078,QG- GBM TAIO                  
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040087,"""PL"" - 3ª/12º BPM - TIJUCAS   "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090048,"48 ""PA"" -  3/2/2 BBM/D.CERQU. "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090040,"40 ""PA"" -  CEPM/FPOLIS        "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090007,"07 ""PA"" - 1/3BPM/P. UNIAO     "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150045,QG- PBM BRUSQUE- CENTRO       
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150012,QG- PBM IMBITUBA              
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040113,"113 - ""PL"" - CMT/DALF - FPOLIS"
2301,SECRETARIA DE ESTADO DA INFRAESTRUTURA            ,SIE,23010010,SETORIAL DE CANOINHAS         
1501,SECRETARIA DE ESTADO DA EDUCACAO                  ,SED,15010003,ALMOX CENTRAL DOACAO          
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150056,QG- GBM SAO JOSE DO CEDRO     
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850059,LF- CBM RIO DO SUL            
4130,FUNDACAO ESCOLA DE GOVERNO - ENA                  ,ENA BRASIL,41300001,GERAL - ENA                   
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040020,"20 ""PL"" - 18º BPM - BRUSQUE   "
2301,SECRETARIA DE ESTADO DA INFRAESTRUTURA            ,SIE,23010008,COORDENADORIA R. EXTREMO OESTE
1901,FUNDO DE MELHORIA DA SSP                          ,SSP,19010005,ALMOX. GVE FUMSSP             
7601,07 SEC.DE EST.DO DES.REG.-JOACABA                 ,07 SDR,76010001,SDR 7-JOACABA                 
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150006,QG- BBM BLUMENAU CENTRO       
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150001,QG-ALMOXG GERAL - CBMSC       
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090078,12º GRUP POL RODOVI�RIA - PA  
5409,FUNDO DA PENITENCIARIA AGRICOLA DE CHAPECO        ,FUPAC,54090001,ALMOX. CENT. DO FUNDO ROTATIVO
2022,JUNTA COMERCIAL DO EST. DE SANTA CATARINA         ,JUCESC,20220001,ALMOX.GERAL - JUCESC          
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090045,"45 ""PA"" -  2/2/3 BBM/BRUSQUE  "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040126,"126 -""PL""-DTSI- FLORIANOPOLIS "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090100,"100 ""PA"" 2CIA/B.A.P.M - JVILLE"
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090067,1º GRUP POL RODOVIÁRIA - PA   
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040053,"53 ""PL"" - 16 BPM/PALHOCA      "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090091,"91""PA""- 23 BPM/S.BENTO DO SUL "
1523,FUNDACAO UNIVERSIDADE DO ESTADO DE SC             ,UDESC,15230010,SAO BENTO DO SUL              
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150055,QG- CBM TUBARAO               
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090080,14º GRUP POL RODOVI�RIA  - PA 
7501,06 SEC.DE EST.DO DES.REG.-CONCORDIA               ,06 SDR,75010001,SDR 6-CONCORDIA               
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090006,"06 ""PA"" - 3 BBM/BLUMENAU      "
7801,09 SEC.DE EST.DO DES.REG.-VIDEIRA                 ,09 SDR,78010001,SDR 9-VIDEIRA                 
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150081,QG- GBM NAVEGANTES - AEROPORTO
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250085,ALMOX/85 G.P.RV CAMPECHE      
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040011,"11 ""PL"" - G. ESP. LAGUNA      "
1901,FUNDO DE MELHORIA DA SSP                          ,SSP,19010002,ALMOX CONTROLE CUSTO VEIC. SSP
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040115,"115 ""PL"" - 5 RPM - JOINVILLE  "
1722,INSTITUTO DE PREVIDENCIA DO EST.DE S/C            ,IPESC,17220001,ALMOXARIFADO GERAL - IPREV    
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090004,"04 ""PA""-26 BPM/HERVAL D'OESTE "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150050,QG- PBM ORLEANS               
5325,DEPARTAMENTO ESTADUAL DE INFRAESTRUTURA           ,DEINFRA,53250083,ALMOX/83 G.P.RV S.L. OESTE    
1523,FUNDACAO UNIVERSIDADE DO ESTADO DE SC             ,UDESC,15230002,ALMOXARIFADO DA ESAG          
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090028,"28 ""PA"" - 3/2BBM/LAGES        "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090013,"13 ""PA"" - 8ª GUESP            "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090112,"112-""PA""-2/6BPM-OTACILIO COSTA"
5497,FUNDO COMPLEXO PENIT. ESTADO (COPE) S.P.ALCANTARA ,COPE,54970001,ALMOX. GERAL (COPE)           
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040059,"59 ""PL"" -  1/2/3 BBM/R. DO SUL"
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090060,"60 ""PA"" - BPMRV/FPOLIS        "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090061,"61 ""PA"" - BPMA/FPOLIS         "
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040041,"41 ""PL"" - G. ESP. P.M. MONTADA"
2091,FAPESC FUND APOIO A PESQUISA CIENT.E TEC.DO EST.SC,FAPESC,20910001,ALMOX. GERAL - FAPESC         
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850055,LF- CBM TUBARAO               
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090127,"127 - ""PA"" 5ª/BAPM - LAGES    "
1915,CORPO DE BOMBEIROS MILITAR DE S.C.                ,CBMSC,19150082,QG- GBM LUIS ALVES            
2102,DEFENSORIA PUBLICA DE SANTA CATARINA              ,DPGE,21020001,ALMOXARIFADO GERAL - DPE      
5602,SJC - FUNDO PENITENCIARIO DO ESTADO DE SC.        ,FUPESC,56020001,ALMOX. GERAL - FUPESC         
1523,FUNDACAO UNIVERSIDADE DO ESTADO DE SC             ,UDESC,15230001,ALMOXARIFADO GERAL - UDESC    
1685,FUNDO DE MELHORIAS DO CORPO DE BOMBEIROS          ,FMCBM,16850022,LF- GBM BRACO DO NORTE        
1904,POLICIA MILITAR DO ESTADO DE SANTA CATARINA       ,PMSC,19040052,"52 ""PL"" -  24 BPM/BIGUACU     "
1909,FUNDO DE APARELHAMENTO DA PM                      ,FUNAPM,19090071,5º GRUP POL RODOVI�RIA - PA   
7201,03 SEC.DE EST.DO DES.REG.-S.L.D'OESTE             ,03 SDR,72010001,SDR 3-SAO LOURENCO D`OESTE    
2201,SECRETARIA DE ESTADO DA FAZENDA                   ,SEF,22010001,ALMOXARIFADO GERAL - SEF      
